Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D62,+5B,WireHole_1p2,101.2698,-124.9934,0.0,top
D63,t_D,WireHole_1p2,101.204493,-127.376613,0.0,top
D64,t_Q,WireHole_1p2,101.153693,-129.738813,0.0,top
D65,Gnd,WireHole_1p2,101.153693,-132.202613,0.0,top
D66,+5B,WireHole_1p2,99.9838,-62.611,0.0,top
D67,t_D,WireHole_1p2,100.0346,-64.9732,0.0,top
D68,t_Q,WireHole_1p2,100.0854,-67.4116,0.0,top
D69,Gnd,WireHole_1p2,100.0346,-69.8754,0.0,top
D70,CS_In,Wire_Hole_1mm,180.213,-81.22685,0.0,top
D71,CS_Out,Wire_Hole_1mm,186.6138,-81.17605,0.0,top
D72,Gnd,Wire_Hole_1mm,178.0286,-77.41685,0.0,top
D73,U,Wire_Hole_1mm,185.8772,-72.99725,0.0,top
D74,+5B,WireHole_1p2,137.922,-94.7166,0.0,top
D75,t_D,WireHole_1p2,137.9243,-97.1042,0.0,top
D76,t_Q,WireHole_1p2,137.922,-99.5172,0.0,top
D77,Gnd,WireHole_1p2,137.922,-101.9302,0.0,top
D78,I,Wire_Hole_1mm,181.2798,-72.99725,0.0,top
D79,CS_In,Wire_Hole_1mm,72.991528,-107.635,0.0,top
D80,+5B,WireHole_1p2,135.0772,-123.317,0.0,top
D81,t_D,WireHole_1p2,135.0264,-125.8316,0.0,top
D82,t_Q,WireHole_1p2,135.0264,-128.3462,0.0,top
D83,Gnd,WireHole_1p2,135.0694,-120.9548,0.0,top
D84,+5B,WireHole_1p2,106.426,-96.8248,0.0,top
D85,t_D,WireHole_1p2,106.426,-99.2632,0.0,top
D86,t_Q,WireHole_1p2,106.426,-101.7524,0.0,top
D87,Gnd,WireHole_1p2,106.4768,-104.1654,0.0,top
D88,CS_Out,Wire_Hole_1mm,79.341528,-107.5334,0.0,top
D89,Gnd,Wire_Hole_1mm,70.781728,-103.3932,0.0,top
D90,U,Wire_Hole_1mm,78.706528,-99.0752,0.0,top
D91,I,Wire_Hole_1mm,74.693328,-99.0752,0.0,top
D92,+5V,WireHole_1p2,187.4508,-111.6412,0.0,top
D93,t LED,WireHole_1p2,187.527,-113.978,0.0,top
D94,GND,WireHole_1p2,187.6286,-116.3402,0.0,top
D95,+5B,WireHole_1p2,171.5161,-68.0977,0.0,top
D96,t_LED,WireHole_1p2,171.5161,-70.4599,0.0,top
D97,GND,WireHole_1p2,171.5415,-72.7967,0.0,top
D98,WireHole_1p5,WireHole_1p2,121.7422,-67.0052,0.0,top
D99,WireHole_1p5,WireHole_1p2,121.7168,-69.1896,0.0,top
D100,Wire_Pad_01,Wire_Hole_1mm,95.972093,-132.024813,0.0,top
D101,Wire_Pad_01,Wire_Hole_1mm,97.826293,-132.024813,0.0,top
D102,Wire_Pad_01,Wire_Hole_1mm,102.5398,-106.807,0.0,top
D103,Wire_Pad_01,Wire_Hole_1mm,104.3432,-106.807,0.0,top
D104,Wire_Pad_01,Wire_Hole_1mm,131.9276,-130.81,0.0,top
D105,Wire_Pad_01,Wire_Hole_1mm,134.0358,-130.81,0.0,top
D106,Wire_Pad_01,Wire_Hole_1mm,117.9068,-93.4974,0.0,top
D107,Wire_Pad_01,Wire_Hole_1mm,117.9068,-95.8596,0.0,top
IC1,TPS40211QDGQRQ1,SOP50P490X110-11N,82.4578,-69.215,0.0,top
IC2,LM5164QDDATQ1,SOIC127P600X170-9N,128.562,-66.8583,0.0,top
IC3,LM3481MM_NOPB,SOP50P490X110-10N,89.663493,-128.586413,0.0,top
IC4,LM3488MM,SOP65P490X110-8N,96.144,-103.7594,0.0,top
IC5,LM3478MMX_NOPB,SOP65P490X110-8N,125.7886,-127.659353,0.0,top
IC6,MAX998EUT+T,SOT95P280X145-6N,157.1498,-139.5636,90.0,top
L1,TFM201610ALC-R47MTAA,INDC2016X80N,95.322,-70.1294,180.0,top
L2,SRP7050AA-220M,INDPM5752X300N,89.8492,-63.4492,0.0,top
L3,SRP4020TA-100M,INDPM4441X200N,130.2638,-61.533,0.0,top
L4,TFM201610ALC-R47MTAA,WPN252010UR47MT,138.341,-62.2442,0.0,top
L5,TFM201610ALC-R47MTAA,INDC2016X80N,120.2944,-88.7603,-90.0,top
L6,TFM201610ALC-R47MTAA,INDPM5752X300N,127.9274,-88.8746,0.0,top
L7,TFM201610ALC-R47MTAA,INDC2016X80N,134.7098,-93.6244,0.0,top
L8,SRP4020TA-100M,INDPM4441X200N,93.498893,-124.090613,180.0,top
L9,SRP4020TA-100M,INDPM4441X200N,129.5986,-122.934953,180.0,top
L10,SRP4020TA-100M,INDPM4441X200N,98.3996,-98.654,90.0,top
Q1,AON7407,DFN_3X3_EP,91.7034,-68.834,0.0,top
Q2,AON7407,DFN_3X3_EP,130.7846,-94.1509,0.0,top
Q3,AON7407,DFN_3X3_EP,88.545893,-124.769513,0.0,top
Q4,AON7407,DFN_3X3_EP,124.5694,-123.650553,0.0,top
Q5,AON7407,DFN_3X3_EP,94.0816,-99.3329,0.0,top
R1,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,82.9658,-73.0504,-90.0,top
R2,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,80.8576,-73.0852,90.0,top
R3,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,75.311,-72.4408,0.0,top
R4,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,82.026,-66.294,0.0,top
R5,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,123.736,-68.01,90.0,top
R6,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,87.9536,-69.7484,0.0,top
R7,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,88.3158,-71.771,0.0,top
R8,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,91.2716,-72.644,-90.0,top
R9,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,135.3786,-65.343,180.0,top
R10,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,138.3156,-67.7466,-90.0,top
R11,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,128.6002,-97.0167,180.0,top
R12,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,120.6406,-101.2952,0.0,top
R13,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.6858,-101.2444,0.0,top
R14,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,84.380293,-131.939213,0.0,top
R15,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,88.428293,-131.583613,0.0,top
R16,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,92.289093,-131.583613,0.0,top
R17,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,94.981493,-129.602413,0.0,top
R18,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,85.751893,-124.709613,90.0,top
R19,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,79.970093,-125.309813,180.0,top
R20,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,79.925893,-131.075613,0.0,top
R21,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,90.7702,-105.6136,0.0,top
R22,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,128.6174,-130.834353,0.0,top
R23,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,130.9956,-128.599153,0.0,top
R24,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100.4316,-104.5468,-90.0,top
R25,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,120.9239,-122.655553,180.0,top
R26,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,90.2368,-100.9908,180.0,top
R27,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,116.8384,-122.630153,180.0,top
R28,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,117.1526,-128.268953,0.0,top
R29,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,92.3544,-92.9136,90.0,top
R30,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,90.6178,-96.4188,180.0,top
R31,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,183.4736,-81.02365,0.0,top
R32,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,181.0418,-75.28325,0.0,top
R33,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,186.69,-78.30585,-90.0,top
R34,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,185.039,-75.23245,0.0,top
R35,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,76.191928,-107.3302,0.0,top
R36,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,73.677328,-101.5136,0.0,top
R37,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,79.341528,-104.6632,-90.0,top
R38,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,77.725328,-101.5136,0.0,top
R39,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.2994,-136.2108,0.0,top
R40,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,159.9946,-139.2588,90.0,top
R41,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,158.75,-142.7386,0.0,top
R42,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,162.0266,-139.2428,-90.0,top
R43,R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,164.2618,-140.6144,90.0,top
U1,INA138,SOT-23-5,134.7088,-68.0862,180.0,top
U2,Mounting_Hole_M2,Hole_screw_M1p2,192.3288,-146.2024,0.0,top
U3,Mounting_Hole_M2,Hole_screw_M1p2,152.2222,-58.4708,0.0,top
U4,Mounting_Hole_M2,Hole_screw_M1p2,67.2592,-145.8722,0.0,top
U5,Mounting_Hole_M2,Hole_screw_M1p2,66.8,-57.3,0.0,top
U6,INA138,SOT-23-5,79.762993,-128.230813,180.0,top
U7,INA138,SOT-23-5,116.702,-125.525753,180.0,top
U8,INA138,SOT-23-5,89.4588,-93.2946,90.0,top
U9,MCP9700AT-ETT,SOT-23,128.3553,-67.0296,180.0,bottom
U10,MCP9700AT-ETT,SOT-23,88.098093,-124.531813,180.0,bottom
U11,MCP9700AT-ETT,SOT-23,86.396293,-120.925013,180.0,bottom
U12,MCP9700AT-ETT,SOT-23,91.6295,-68.7476,180.0,bottom
U13,MCP9700AT-ETT,SOT-23,95.4626,-63.5254,-90.0,bottom
U14,INA138,SOT-23-5,183.4896,-78.17885,0.0,top
U15,MCP9700AT-ETT,SOT-23,130.6091,-93.5775,180.0,bottom
U16,MCP9700AT-ETT,SOT-23,133.6294,-88.8379,180.0,bottom
U17,MCP9700AT-ETT,SOT-23,124.8234,-123.4186,0.0,bottom
U18,MCP9700AT-ETT,SOT-23,94.046,-99.3117,-90.0,bottom
U19,MCP9700AT-ETT,SOT-23,122.4104,-119.9896,180.0,bottom
U20,MCP9700AT-ETT,SOT-23,96.2175,-93.8682,180.0,bottom
U21,INA138,SOT-23-5,76.014128,-104.3584,0.0,top
U22,MCP9700AT-ETT,SOT-23,171.7197,-113.8916,0.0,top
U23,MCP9700AT-ETT,SOT-23,165.2384,-71.8823,0.0,top
U24,Mounting_Hole_M2,Hole_screw_M1p2,157.5054,-136.16,90.0,top
U25,Mounting_Hole_M2,Hole_screw_M1p2,155.575,-136.1346,90.0,top
U26,Mounting_Hole_M2,Hole_screw_M1p2,155.9052,-142.7132,90.0,top
U27,Mounting_Hole_M2,Hole_screw_M1p2,164.2872,-137.7348,90.0,top
U28,Mounting_Hole_M2,Hole_screw_M1p2,163.068,-135.6012,90.0,top
Z1,BZT52-C5V1J,D_SOD-323F,85.1756,-72.898,90.0,top
Z2,BZT52-C5V1J,D_SOD-323F,131.826,-98.7044,-90.0,top
